2025-11-09T10:35:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 230.0V | AC_I: 32.0A | T_conn: 25.0C | dTdt: 0.0C/min | Event: StartTransaction
2025-11-09T10:35:31+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 25.7C | dTdt: 1.0C/min | Event: PeriodicStatus
2025-11-09T10:36:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.0C | dTdt: 0.5C/min | Event: PeriodicStatus
2025-11-09T10:36:31+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.2C | dTdt: 0.3C/min | Event: PeriodicStatus
2025-11-09T10:37:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.3C | dTdt: 0.1C/min | Event: PeriodicStatus
2025-11-09T10:37:31+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.1C/min | Event: PeriodicStatus
2025-11-09T10:38:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:38:31+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:39:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:39:31+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:40:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:40:31+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:41:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:41:31+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:42:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:42:31+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:43:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
